Brand Name,Product Name,Price,Return/Exchange,Expected Delivery,Availability,Page URL
Intern,"Intern INT-38C-VT-G 38 Incheses Cutaway Right HAnded lindenwood Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Violet, 6-Strings)","2,279",7 days Replacement,9 - 12 October,Available to ship in 1-2 days,https://www.amazon.in/Intern-INT-38C-VT-G-Guitar-Kit-Violet/dp/B07K8YJXKL/ref=sr_1_47?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-47
JUAREZ,"Juârez JRZ38C/VTS 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Violet/Purple with Bag, Strings, Picks and Strap","2,647",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/JRZ38C-VTS-Strings-Acoustic-Cutaway/dp/B072MFLQC9/ref=sr_1_48?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-48
Medellin,"Medellin Acoustic Guitar + (Free online learning Course) Neon Green with Strings,Bag,Picks and guitar strap.","2,499",7 days Replacement,"Monday, 9 October",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNS2NDX/ref=sr_1_49?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-49
VAULT,Vault RG1 Soloist Premium Electric Guitar - Transparent Black,"11,499",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Vault-Soloist-Premium-Electric-Guitar/dp/B09GLZSS95/ref=sr_1_50?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-50
Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","11,999",7 days Replacement,"Monday, 9 October",In stock,https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Instrument/dp/B077SZ667X/ref=sr_1_51?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-51
Kadence,"Kadence Guitar Acoustica Series, Electric Acoustic Guitar, Ash Wood with Pickup and Inbuilt tuner (Ash Wood, Electro Acoustic) with bag.","6,999",7 days Replacement,"Monday, 9 October",In stock,https://www.amazon.in/Kadence-Acoustica-Ash-Wood-Equlizer/dp/B0757H5P13/ref=sr_1_52?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-52
Intern,"Intern INT-38C 38 Incheses basswood-BLS-G Cutaway Right HAnded Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Blue, 6 Strings)","2,119",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Intern-INT-38C-BLS-G-Guitar-Kit-Blue/dp/B07K8YXTNW/ref=sr_1_53?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-53
YAMAHA,"Yamaha FS100C Acoustic Guitar, Black","9,739",7 days Replacement,"Wednesday, 11 October",In stock,https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_54?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-54
VAULT,"Vault Traveller 34 Inch Acoustic Guitar With Truss Rod, Gig-Bag, Strap, Strings, Polishing Cloth, String Winder, Picks & E-Book - Natural Gloss","4,299",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Traveller-Acoustic-Guitar-Strings-Polishing/dp/B07RK9962M/ref=sr_1_55?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-55
Intern,"INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof, Bend resistant, Durable Action, Natural tone & resonance. Natural Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set & Plectrums.","2,499",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Acoustic-Humidity-resistant-resonance-Plectrums/dp/B09RQZG25Q/ref=sr_1_56?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-56
DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH 40 inch Acoustic Guitar for Beginners Adults Premium Wood Curved Cutaway Design Acoustic Guitar Kit with Carrying Gig Bag Guitar for Adults Starters Students (Wine),"5,449",7 days Returnable,"Wednesday, 11 October",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfYnRmOjMwMDA0MTI2NzU0NDQzMjo6MDo6&url=%2FDEVICE-URBAN-INFOTECH-Acoustic-Beginners%2Fdp%2FB0CDS5CHVN%2Fref%3Dsr_1_57_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Multicolor,DIKUJI ENTERPRISE Plastic Medium Acoustic Guitar Learning Toy for Kids (Brown),999, - ,"Monday, 9 October",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfYnRmOjMwMDA2NjU2MzgyNDYzMjo6MDo6&url=%2FDIKUJI-ENTERPRISE-Acoustic-Guitar-Learning%2Fdp%2FB099GS1WG6%2Fref%3Dsr_1_58_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
PS Signature,"PS Signature 41inch Acoustic Guitar (Natural Color) Free 1 set Strings, 3 Picks, Bag & Belt)","3,599", - ,"Tuesday, 10 October", - ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfYnRmOjMwMDA2NTExNDY0MTUzMjo6MDo6&url=%2FPS-Signature-Acoustic-Natural-Strings%2Fdp%2FB0CFYS6Q7Q%2Fref%3Dsr_1_59_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
 - ,"PS Signature 41inch Acoustic Guitar Black Matte (Free 1 set Strings, 3 Picks, Bag & Belt)","3,499", - ,"Tuesday, 10 October", - ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfYnRmOjMwMDA2NTExNDY0MTczMjo6MDo6&url=%2FPS-Signature-41inch-Acoustic-Strings%2Fdp%2FB0C43LH9QS%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
